host,model,i,action,outcome,code,state_write,admission_ms,decision_ms,encode_ms,commit_ms,projection_ms,e2e_ms
m1-server,tiny,1000,move,accepted,moved,1,0.0116,0.0047,0.0035,0.0690,0.0021,0.0909
m1-server,tiny,1001,move,accepted,moved,1,0.0092,0.0039,0.0034,0.0613,0.0022,0.0800
m1-server,tiny,1002,move,accepted,moved,1,0.0192,0.0043,0.0034,0.0750,0.0022,0.1041
m1-server,tiny,1003,wait,rejected,invalid_time,0,0.0093,0.0037,0.0013,0.0535,0.0018,0.0694
m1-server,tiny,1004,move,accepted,moved,1,0.0093,0.0039,0.0035,0.0671,0.0020,0.0858
m1-server,tiny,1005,move,accepted,moved,1,0.0088,0.0038,0.0034,0.0654,0.0027,0.0840
m1-server,tiny,1006,choose,rejected,invalid_choice,0,0.0094,0.0048,0.0013,0.0505,0.0019,0.0679
m1-server,tiny,1007,move,accepted,moved,1,0.0090,0.0038,0.0033,0.0604,0.0024,0.0790
m1-server,tiny,1008,look,accepted,observed,0,0.0094,0.0035,0.0012,0.0510,0.0018,0.0668
m1-server,tiny,1009,take,rejected,not_present,0,0.0086,0.0033,0.0012,0.0511,0.0018,0.0660
m1-server,tiny,1010,move,accepted,moved,1,0.0089,0.0037,0.0033,0.0663,0.0133,0.0954
m1-server,tiny,1011,choose,rejected,invalid_choice,0,0.0189,0.0055,0.0014,0.0620,0.0020,0.0898
m1-server,tiny,1012,look,accepted,observed,0,0.0092,0.0037,0.0013,0.1065,0.0018,0.1223
m1-server,tiny,1013,talk,rejected,not_eligible,0,0.0092,0.0035,0.0013,0.0534,0.0017,0.0690
m1-server,tiny,1014,look,accepted,observed,0,0.0088,0.0031,0.0013,0.0561,0.0020,0.0713
m1-server,tiny,1015,move,accepted,moved,1,0.0094,0.0042,0.0035,0.0629,0.0024,0.0825
m1-server,tiny,1016,wait,rejected,invalid_time,0,0.0101,0.0040,0.0011,0.0533,0.0017,0.0702
m1-server,tiny,1017,look,accepted,observed,0,0.0090,0.0033,0.0012,0.0723,0.0016,0.0873
m1-server,tiny,1018,move,accepted,moved,1,0.0087,0.0038,0.0033,0.0671,0.0021,0.0849
m1-server,tiny,1019,take,accepted,taken,1,0.0091,0.0036,0.0033,0.0735,0.0023,0.0917
m1-server,tiny,1020,look,accepted,observed,0,0.0088,0.0032,0.0012,0.0839,0.0017,0.0988
