host,model,i,action,outcome,code,state_write,admission_ms,decision_ms,encode_ms,commit_ms,projection_ms,e2e_ms
phone-android,tiny,1000,move,accepted,moved,1,0.5995,0.5167,0.1709,4.1610,0.1790,5.6270
phone-android,tiny,1001,move,accepted,moved,1,0.5764,0.4874,0.1714,4.5854,0.1513,5.9718
phone-android,tiny,1002,move,accepted,moved,1,0.6506,0.5188,0.1794,4.0694,0.1495,5.5676
phone-android,tiny,1003,wait,rejected,invalid_time,0,0.5416,0.5100,0.0832,3.3592,0.1241,4.6181
phone-android,tiny,1004,move,accepted,moved,1,0.6153,0.5072,0.1697,4.4791,0.1471,5.9184
phone-android,tiny,1005,move,accepted,moved,1,0.5690,0.5751,0.1735,4.1928,0.1486,5.6590
phone-android,tiny,1006,choose,rejected,invalid_choice,0,0.5637,0.5436,0.0797,3.5352,0.1217,4.8439
phone-android,tiny,1007,move,accepted,moved,1,0.6473,0.5284,0.1680,4.4169,0.1583,5.9189
phone-android,tiny,1008,look,accepted,observed,0,0.5877,0.4893,0.1380,3.3632,0.1119,4.6899
phone-android,tiny,1009,take,rejected,not_present,0,0.5822,0.4873,0.0811,3.6425,0.1169,4.9101
phone-android,tiny,1010,move,accepted,moved,1,0.5965,0.5220,0.1717,4.6201,0.1816,6.0919
phone-android,tiny,1011,choose,rejected,invalid_choice,0,0.7334,0.5964,0.0802,3.6826,0.1323,5.2249
phone-android,tiny,1012,look,accepted,observed,0,0.7649,0.5340,0.0803,3.8167,0.1302,5.3260
phone-android,tiny,1013,talk,rejected,not_eligible,0,0.7097,0.5219,0.0817,3.6944,0.1467,5.1544
phone-android,tiny,1014,look,accepted,observed,0,0.8059,0.5251,0.0818,3.7968,0.1411,5.3507
phone-android,tiny,1015,move,accepted,moved,1,0.7239,0.6303,0.1714,4.3312,0.1509,6.0077
phone-android,tiny,1016,wait,rejected,invalid_time,0,0.5822,0.4928,0.0813,3.3991,0.1308,4.6862
phone-android,tiny,1017,look,accepted,observed,0,0.7177,0.5031,0.0818,3.7277,0.1324,5.1627
phone-android,tiny,1018,move,accepted,moved,1,0.6572,0.5314,0.1705,4.5760,0.1731,6.1082
phone-android,tiny,1019,take,accepted,taken,1,0.7043,0.5625,0.1699,4.5620,0.1622,6.1610
phone-android,tiny,1020,look,accepted,observed,0,0.6301,0.4931,0.0806,3.5094,0.1205,4.8337
phone-android,tiny,1021,look,accepted,observed,0,0.6049,0.4842,0.1299,3.8254,0.1303,5.1747
phone-android,tiny,1022,drop,accepted,dropped,1,0.7272,0.5370,0.1764,4.6212,0.1834,6.2452
phone-android,tiny,1023,activate,rejected,not_eligible,0,0.7674,0.5336,0.0815,3.7670,0.1384,5.2880
phone-android,tiny,1024,move,accepted,moved,1,1.1125,0.6049,0.1707,4.7407,0.1449,6.7738
phone-android,tiny,1025,look,accepted,observed,0,0.5949,0.5660,0.0784,3.7211,0.1244,5.0848
phone-android,tiny,1026,move,rejected,exit_unavailable,0,0.6417,0.5123,0.0838,3.6819,0.1374,5.0571
phone-android,tiny,1027,move,accepted,moved,1,0.7932,0.5495,0.1727,4.6155,0.1686,6.2995
phone-android,tiny,1028,move,accepted,moved,1,0.6777,0.6289,0.1704,4.5179,0.1777,6.1725
phone-android,tiny,1029,look,accepted,observed,0,0.7282,0.5149,0.0806,3.5536,0.1379,5.0153
phone-android,tiny,1030,move,accepted,moved,1,0.6321,0.5082,0.1697,4.0778,0.1532,5.5411
phone-android,tiny,1031,look,accepted,observed,0,0.6052,0.5622,0.0802,3.4481,0.1374,4.8331
phone-android,tiny,1032,take,rejected,not_present,0,0.7013,0.4716,0.0803,3.5770,0.1287,4.9589
phone-android,tiny,1033,take,rejected,not_present,0,0.5993,0.5459,0.0808,3.6824,0.1395,5.0479
phone-android,tiny,1034,talk,rejected,not_eligible,0,0.7562,0.5296,0.0815,3.3047,0.1499,4.8220
phone-android,tiny,1035,take,rejected,not_present,0,0.7935,0.6008,0.0832,3.3382,0.1214,4.9372
phone-android,tiny,1036,look,accepted,observed,0,0.5818,0.4728,0.0795,2.9089,0.1189,4.1619
phone-android,tiny,1037,move,accepted,moved,1,0.5732,0.5204,0.1716,3.8124,0.1488,5.2265
phone-android,tiny,1038,talk,rejected,not_owned,0,0.6509,0.4961,0.0823,3.0614,0.1293,4.4201
phone-android,tiny,1039,move,accepted,moved,1,0.6270,0.5300,0.1743,3.9178,0.1466,5.3957
phone-android,tiny,1040,activate,rejected,not_eligible,0,0.6236,0.4785,0.0816,3.4219,0.1278,4.7334
phone-android,tiny,1041,talk,rejected,not_eligible,0,0.5711,0.4804,0.0804,3.4595,0.1317,4.7230
phone-android,tiny,1042,look,accepted,observed,0,0.6055,0.6057,0.0794,3.4352,0.1173,4.8430
phone-android,tiny,1043,move,rejected,exit_unavailable,0,0.5952,0.5117,0.0853,3.3978,0.1231,4.7131
phone-android,tiny,1044,take,replayed,not_present,0,0.9991,0.4605,0.0021,0.0005,0.0598,1.5221
phone-android,tiny,1045,activate,rejected,not_eligible,0,0.4552,0.4166,0.0782,2.9533,0.1218,4.0252
phone-android,tiny,1046,look,accepted,observed,0,0.5918,0.4889,0.0793,3.8194,0.1228,5.1021
phone-android,tiny,1047,look,accepted,observed,0,0.7026,0.4884,0.0801,3.4354,0.1198,4.8263
phone-android,tiny,1048,move,accepted,moved,1,0.5890,0.5208,0.1739,4.2741,0.1430,5.7007
phone-android,tiny,1049,activate,rejected,not_eligible,0,0.5564,0.5235,0.0831,3.9085,0.1411,5.2127
phone-android,tiny,1050,move,accepted,moved,1,0.7104,0.6361,0.1849,4.7570,0.1802,6.4686
phone-android,tiny,1051,look,accepted,observed,0,0.7632,0.4887,0.0806,4.2598,0.1457,5.7381
phone-android,tiny,1052,wait,rejected,invalid_time,0,0.8732,0.5740,0.0830,4.1849,0.1614,5.8765
phone-android,tiny,1053,choose,rejected,invalid_choice,0,0.7910,0.5673,0.0798,3.5389,0.1266,5.1035
