host,model,i,action,outcome,code,state_write,admission_ms,decision_ms,encode_ms,commit_ms,projection_ms,e2e_ms,bytes_written,host_encode_ms
node-local,tiny,1000,move,accepted,moved,1,0.0128,0.0159,0.0024,0.3324,0.0031,0.3665,190,0.0129
node-local,tiny,1001,move,accepted,moved,1,0.0146,0.0174,0.0037,0.3388,0.0041,0.3786,188,0.0088
node-local,tiny,1002,move,accepted,moved,1,0.0140,0.0172,0.0031,0.3409,0.0045,0.3798,190,0.0096
node-local,tiny,1003,wait,rejected,invalid_time,0,0.0141,0.0162,0.0029,0.2931,0.0030,0.3293,164,0.0083
node-local,tiny,1004,move,accepted,moved,1,0.0120,0.0161,0.0030,0.3275,0.0033,0.3619,186,0.0078
node-local,tiny,1005,move,accepted,moved,1,0.0120,0.0152,0.0029,0.3346,0.0038,0.3685,188,0.0078
node-local,tiny,1006,choose,rejected,invalid_choice,0,0.0124,0.2890,0.0045,0.3311,0.0030,0.6400,166,0.0076
node-local,tiny,1007,move,accepted,moved,1,0.0122,0.0161,0.0029,0.3192,0.0039,0.3543,186,0.0081
node-local,tiny,1008,look,accepted,observed,0,0.0127,0.0152,0.0028,0.2892,0.0028,0.3227,160,0.0073
node-local,tiny,1009,take,rejected,not_present,0,0.0122,0.0152,0.0027,0.2864,0.0030,0.3196,163,0.0082
node-local,tiny,1010,move,accepted,moved,1,0.0119,0.0158,0.0029,0.3232,0.0034,0.3572,190,0.0073
node-local,tiny,1011,choose,rejected,invalid_choice,0,0.0120,0.0150,0.0025,0.3189,0.0038,0.3523,166,0.0097
node-local,tiny,1012,look,accepted,observed,0,0.0163,0.0152,0.0029,0.3175,0.0030,0.3550,160,0.0075
node-local,tiny,1013,talk,rejected,not_eligible,0,0.0126,0.0156,0.0025,0.2943,0.0028,0.3278,164,0.0072
node-local,tiny,1014,look,accepted,observed,0,0.0115,0.0138,0.0025,0.2853,0.0032,0.3164,160,0.0072
node-local,tiny,1015,move,accepted,moved,1,0.0118,0.0152,0.0028,0.3211,0.0034,0.3543,188,0.0073
node-local,tiny,1016,wait,rejected,invalid_time,0,0.0115,0.0144,0.0024,0.2842,0.0027,0.3152,164,0.0072
node-local,tiny,1017,look,accepted,observed,0,0.0127,0.0135,0.0024,0.2818,0.0026,0.3130,160,0.0070
node-local,tiny,1018,move,accepted,moved,1,0.0115,0.0155,0.0028,0.3186,0.0034,0.3517,190,0.0073
node-local,tiny,1019,take,accepted,taken,1,0.0116,0.0155,0.0027,0.3277,0.0032,0.3607,188,0.0072
node-local,tiny,1020,look,accepted,observed,0,0.0126,0.0135,0.0025,0.2942,0.0026,0.3254,160,0.0072
node-local,tiny,1021,look,accepted,observed,0,0.0113,0.0131,0.0023,0.2912,0.0026,0.3206,160,0.0071
node-local,tiny,1022,drop,accepted,dropped,1,0.0116,0.0151,0.0027,0.3166,0.0041,0.3502,197,0.0080
node-local,tiny,1023,activate,rejected,stale_view,0,0.0136,0.0136,0.0026,0.2936,0.0026,0.3261,162,0.0079
node-local,tiny,1024,move,accepted,moved,1,0.0120,0.0152,0.0027,0.3506,0.0033,0.3838,186,0.0072
node-local,tiny,1025,look,accepted,observed,0,0.0113,0.0130,0.0025,0.2879,0.0027,0.3174,160,0.0072
node-local,tiny,1026,move,rejected,exit_unavailable,0,0.0114,0.0154,0.0025,0.2806,0.0027,0.3125,168,0.0072
node-local,tiny,1027,move,accepted,moved,1,0.0113,0.0147,0.0027,0.3172,0.0034,0.3492,188,0.0071
node-local,tiny,1028,move,accepted,moved,1,0.0129,0.0150,0.0032,0.3276,0.0033,0.3620,186,0.0071
node-local,tiny,1029,look,accepted,observed,0,0.0113,0.0129,0.0024,0.2890,0.0027,0.3185,160,0.0072
node-local,tiny,1030,move,accepted,moved,1,0.0115,0.0143,0.0027,0.3145,0.0034,0.3464,188,0.0072
node-local,tiny,1031,look,accepted,observed,0,0.0131,0.0130,0.0025,0.2888,0.0027,0.3200,160,0.0071
node-local,tiny,1032,take,rejected,not_present,0,0.0114,0.0145,0.0025,0.4497,0.0026,0.4807,163,0.0071
node-local,tiny,1033,take,rejected,not_present,0,0.0115,0.0141,0.0023,0.2921,0.0028,0.3228,163,0.0070
node-local,tiny,1034,talk,rejected,not_eligible,0,0.0118,0.0146,0.0024,0.2969,0.0027,0.3284,165,0.0070
node-local,tiny,1035,take,rejected,not_present,0,0.0115,0.0137,0.0024,0.2932,0.0027,0.3235,164,0.0071
node-local,tiny,1036,look,accepted,observed,0,0.0116,0.0130,0.0024,0.2890,0.0027,0.3187,161,0.0070
node-local,tiny,1037,move,accepted,moved,1,0.0113,0.0153,0.0028,0.3148,0.0033,0.3475,187,0.0082
node-local,tiny,1038,talk,rejected,not_eligible,0,0.0121,0.0141,0.0024,0.2966,0.0027,0.3279,165,0.0075
node-local,tiny,1039,move,accepted,moved,1,0.0114,0.0152,0.0027,0.3330,0.0035,0.3658,191,0.0072
node-local,tiny,1040,activate,rejected,not_eligible,0,0.0118,0.0177,0.0024,0.2882,0.0027,0.3228,165,0.0071
node-local,tiny,1041,talk,rejected,not_eligible,0,0.0127,0.0140,0.0024,0.5102,0.0027,0.5420,165,0.0072
node-local,tiny,1042,look,accepted,observed,0,0.0114,0.0133,0.0024,0.2779,0.0035,0.3085,161,0.0070
node-local,tiny,1043,move,rejected,exit_unavailable,0,0.0113,0.0143,0.0024,0.2760,0.0027,0.3067,169,0.0073
node-local,tiny,1044,take,replayed,not_present,0,0.0325,0.0123,0.0002,0.0001,0.0020,0.0472,0,0.0072
node-local,tiny,1045,activate,rejected,not_eligible,0,0.0102,0.0136,0.0024,1.7815,0.0032,1.8110,165,0.0072
node-local,tiny,1046,look,accepted,observed,0,0.0122,0.0135,0.0025,0.2822,0.0027,0.3131,161,0.0070
node-local,tiny,1047,look,accepted,observed,0,0.0114,0.0129,0.0024,0.4809,0.0027,0.5103,161,0.0080
node-local,tiny,1048,move,accepted,moved,1,0.0120,0.0162,0.0028,0.3531,0.0033,0.3875,189,0.0073
node-local,tiny,1049,activate,rejected,not_eligible,0,0.0119,0.0135,0.0024,0.3092,0.0030,0.3400,165,0.0074
node-local,tiny,1050,move,accepted,moved,1,0.0122,0.0163,0.0028,0.3390,0.0042,0.3745,191,0.0075
node-local,tiny,1051,look,accepted,observed,0,0.0145,0.0146,0.0025,0.3014,0.0027,0.3357,161,0.0071
node-local,tiny,1052,wait,rejected,invalid_time,0,0.0116,0.0150,0.0025,0.2858,0.0027,0.3175,165,0.0071
node-local,tiny,1053,choose,rejected,invalid_choice,0,0.0124,0.0166,0.0024,0.2904,0.0029,0.3246,167,0.0074
node-local,tiny,1054,wait,rejected,invalid_time,0,0.0123,0.0153,0.0025,0.3322,0.0028,0.3650,165,0.0072
node-local,tiny,1055,look,accepted,observed,0,0.0120,0.0138,0.0024,0.2853,0.0027,0.3162,161,0.0070
node-local,tiny,1056,wait,rejected,invalid_time,0,0.0118,0.0137,0.0023,0.2808,0.0027,0.3112,165,0.0071
node-local,tiny,1057,take,accepted,taken,1,0.0115,0.0152,0.0029,0.3182,0.0033,0.3510,189,0.0072
node-local,tiny,1058,move,accepted,moved,1,0.0122,0.0152,0.0028,0.3263,0.0033,0.3600,187,0.0073
node-local,tiny,1059,move,accepted,moved,1,0.0118,0.0160,0.0030,0.3819,0.0034,0.4161,191,0.0093
node-local,tiny,1060,look,accepted,observed,0,0.0116,0.0369,0.0024,0.3028,0.0037,0.3575,161,0.0085
node-local,tiny,1061,talk,rejected,not_eligible,0,0.0145,0.0164,0.0026,0.3142,0.0031,0.3508,165,0.0081
node-local,tiny,1062,wait,rejected,invalid_time,0,0.0122,0.0144,0.0025,0.3010,0.0026,0.3328,165,0.0072
node-local,tiny,1063,take,replayed,not_present,0,0.0221,0.0116,0.0002,0.0000,0.0020,0.0359,0,0.0070
node-local,tiny,1064,move,accepted,moved,1,0.0100,0.0152,0.0027,0.3840,0.0037,0.4157,187,0.0073
node-local,tiny,1065,choose,rejected,invalid_choice,0,0.0118,0.0148,0.0025,0.2842,0.0027,0.3161,167,0.0101
node-local,tiny,1066,move,accepted,moved,1,0.0117,0.0155,0.0027,0.3173,0.0042,0.3515,191,0.0071
node-local,tiny,1067,move,accepted,moved,1,0.0116,0.0154,0.0027,0.3788,0.0032,0.4117,187,0.0070
node-local,tiny,1068,drop,replayed,dropped,0,0.0202,0.0116,0.0002,0.0001,0.0020,0.0341,0,0.0070
node-local,tiny,1069,look,accepted,observed,0,0.0100,0.0131,0.0025,0.2936,0.0026,0.3218,161,0.0068
node-local,tiny,1070,move,accepted,moved,1,0.0114,0.0148,0.0027,0.3781,0.0032,0.4102,191,0.0070
node-local,tiny,1071,move,accepted,moved,1,0.0113,0.0156,0.0027,0.3765,0.0033,0.4094,187,0.0070
node-local,tiny,1072,talk,rejected,not_eligible,0,0.0122,0.0144,0.0025,0.3182,0.0027,0.3500,165,0.0072
node-local,tiny,1073,activate,rejected,not_eligible,0,0.0119,0.0139,0.0025,0.3422,0.0030,0.3735,165,0.0070
node-local,tiny,1074,move,accepted,moved,1,0.0115,0.0150,0.0027,0.3891,0.0035,0.4218,191,0.0071
node-local,tiny,1075,look,accepted,observed,0,0.0123,0.0138,0.0025,0.3568,0.0026,0.3880,161,0.0077
node-local,tiny,1076,move,accepted,moved,1,0.0120,0.0151,0.0027,0.4180,0.0047,0.4524,189,0.0078
node-local,tiny,1077,move,accepted,moved,1,0.0143,0.0179,0.0030,0.3454,0.0032,0.3839,191,0.0071
node-local,tiny,1078,move,accepted,moved,1,0.0117,0.0152,0.0027,0.3242,0.0032,0.3569,187,0.0068
node-local,tiny,1079,move,accepted,moved,1,0.0113,0.0143,0.0026,0.3202,0.0033,0.3518,189,0.0071
node-local,tiny,1080,move,accepted,moved,1,0.0120,0.1912,0.0031,0.3330,0.0032,0.5425,187,0.0072
node-local,tiny,1081,talk,rejected,not_eligible,0,0.0119,0.0148,0.0025,1.5017,0.0036,1.5345,165,0.0076
node-local,tiny,1082,look,accepted,observed,0,0.0135,0.0142,0.0026,0.3095,0.0033,0.3431,161,0.0071
node-local,tiny,1083,choose,rejected,stale_view,0,0.0122,0.0147,0.0025,0.3056,0.0028,0.3377,163,0.0073
node-local,tiny,1084,activate,rejected,not_eligible,0,0.0118,0.0152,0.0025,0.3004,0.0027,0.3327,165,0.0070
node-local,tiny,1085,wait,rejected,invalid_time,0,0.0130,0.0145,0.0024,0.2929,0.0026,0.3254,165,0.0070
node-local,tiny,1086,move,rejected,exit_unavailable,0,0.0118,0.0147,0.0024,0.3132,0.0027,0.3448,169,0.0073
node-local,tiny,1087,activate,rejected,not_eligible,0,0.0133,0.0132,0.0024,0.2993,0.0026,0.3308,165,0.0070
node-local,tiny,1088,look,accepted,observed,0,0.0117,0.0136,0.0024,0.3098,0.0027,0.3402,161,0.0071
node-local,tiny,1089,move,accepted,moved,1,0.0118,0.0161,0.0029,0.3319,0.0032,0.3660,191,0.0072
node-local,tiny,1090,move,accepted,moved,1,0.0127,0.0158,0.0027,0.3339,0.0035,0.3685,187,0.0075
node-local,tiny,1091,close_choice,rejected,invalid_choice,0,0.0126,0.0158,0.0025,0.2983,0.0030,0.3323,167,0.0070
node-local,tiny,1092,look,accepted,observed,0,0.0123,0.0137,0.0025,0.3085,0.0026,0.3395,161,0.0070
node-local,tiny,1093,activate,rejected,not_eligible,0,0.0115,0.0136,0.0025,0.3057,0.0028,0.3361,165,0.0080
node-local,tiny,1094,move,accepted,moved,1,0.0130,0.0159,0.0029,0.3413,0.0035,0.3766,189,0.0070
node-local,tiny,1095,look,accepted,observed,0,0.0117,0.0134,0.0024,0.2848,0.0026,0.3149,161,0.0070
node-local,tiny,1096,look,accepted,observed,0,0.0118,0.0131,0.0024,0.3170,0.0027,0.3469,161,0.0074
node-local,tiny,1097,move,accepted,moved,1,0.0119,0.0155,0.0026,0.3367,0.0033,0.3701,187,0.0070
node-local,tiny,1098,look,accepted,observed,0,0.0116,0.0136,0.0025,0.2972,0.0027,0.3276,161,0.0070
node-local,tiny,1099,choose,rejected,invalid_choice,0,0.0114,0.0157,0.0024,0.2880,0.0030,0.3204,167,0.0069
node-local,tiny,1100,activate,rejected,not_eligible,0,0.0151,0.0132,0.0025,0.2750,0.0026,0.3083,165,0.0070
node-local,tiny,1101,look,accepted,observed,0,0.0112,0.0129,0.0024,0.3000,0.0026,0.3290,161,0.0069
node-local,tiny,1102,move,accepted,moved,1,0.0116,0.0153,0.0027,0.3303,0.0035,0.3634,191,0.0070
node-local,tiny,1103,move,accepted,moved,1,0.0120,0.0155,0.0027,0.3256,0.0032,0.3589,189,0.0070
node-local,tiny,1104,look,accepted,observed,0,0.0116,0.0130,0.0024,0.3303,0.0026,0.3599,161,0.0072
node-local,tiny,1105,drop,accepted,dropped,1,0.0114,0.0146,0.0027,0.3177,0.0033,0.3497,196,0.0071
node-local,tiny,1106,look,accepted,observed,0,0.0113,0.0128,0.0024,0.2988,0.0025,0.3279,161,0.0070
node-local,tiny,1107,move,accepted,moved,1,0.0115,0.0152,0.0027,0.3291,0.0039,0.3624,191,0.0070
node-local,tiny,1108,move,accepted,moved,1,0.0116,0.0150,0.0027,0.3213,0.0032,0.3537,189,0.0071
node-local,tiny,1109,wait,accepted,waited,1,0.0114,0.0152,0.0026,0.3075,0.0032,0.3400,185,0.0070
node-local,tiny,1110,move,rejected,exit_unavailable,0,0.0127,0.0146,0.0024,0.3000,0.0026,0.3323,169,0.0070
node-local,tiny,1111,move,accepted,moved,1,0.0116,0.0151,0.0026,0.3314,0.0032,0.3638,191,0.0070
node-local,tiny,1112,look,accepted,observed,0,0.0115,0.0134,0.0025,0.2882,0.0026,0.3180,161,0.0070
