host,model,i,action,outcome,code,state_write,admission_ms,decision_ms,encode_ms,commit_ms,projection_ms,e2e_ms,bytes_written,host_encode_ms
phone-android,tiny,1000,move,accepted,moved,1,0.8170,0.4351,0.0590,5.7063,0.1650,7.1824,190,0.1951
phone-android,tiny,1001,move,accepted,moved,1,1.0751,0.5052,0.0631,5.0955,0.1100,6.8488,188,0.1585
phone-android,tiny,1002,move,accepted,moved,1,0.9110,0.4211,0.0587,4.6493,0.1453,6.1855,190,0.1752
phone-android,tiny,1003,wait,rejected,invalid_time,0,0.9537,0.4281,0.0523,3.7735,0.0922,5.2998,164,0.1430
phone-android,tiny,1004,move,accepted,moved,1,0.7652,0.4127,0.0549,5.2854,0.1211,6.6393,186,0.1577
phone-android,tiny,1005,move,accepted,moved,1,0.7089,0.4149,0.1390,4.6739,0.1092,6.0458,188,0.1470
phone-android,tiny,1006,choose,rejected,invalid_choice,0,0.6430,0.3553,0.0460,3.4227,0.0899,4.5569,166,0.1457
phone-android,tiny,1007,move,accepted,moved,1,0.7134,0.3690,0.0532,4.5664,0.1065,5.8085,186,0.1477
phone-android,tiny,1008,look,accepted,observed,0,0.6460,0.3409,0.0457,3.3798,0.0808,4.4933,160,0.1387
phone-android,tiny,1009,take,rejected,not_present,0,0.5801,0.3317,0.0478,3.5499,0.1092,4.6188,163,0.1441
phone-android,tiny,1010,move,accepted,moved,1,0.8120,0.4694,0.0574,5.4076,0.1665,6.9129,190,0.1741
phone-android,tiny,1011,choose,rejected,invalid_choice,0,1.0185,0.4397,0.0537,4.5669,0.1212,6.2001,166,0.1427
phone-android,tiny,1012,look,accepted,observed,0,0.8195,0.3407,0.0474,4.0658,0.1293,5.4027,160,0.1565
phone-android,tiny,1013,talk,rejected,not_eligible,0,0.8693,0.4031,0.0521,3.7556,0.1046,5.1848,164,0.1640
phone-android,tiny,1014,look,accepted,observed,0,0.7897,0.3647,0.0487,3.4930,0.0921,4.7883,160,0.1426
phone-android,tiny,1015,move,accepted,moved,1,0.6429,0.3618,0.0528,4.1780,0.1199,5.3553,188,0.1495
phone-android,tiny,1016,wait,rejected,invalid_time,0,0.6558,0.3338,0.0443,3.1522,0.0872,4.2734,164,0.1414
phone-android,tiny,1017,look,accepted,observed,0,0.7838,0.4283,0.0503,3.5457,0.0824,4.8906,160,0.1703
phone-android,tiny,1018,move,accepted,moved,1,0.6267,0.3623,0.0564,4.3606,0.1117,5.5177,190,0.1533
phone-android,tiny,1019,take,accepted,taken,1,0.6760,0.3507,0.0509,4.4904,0.1069,5.6750,188,0.1439
phone-android,tiny,1020,look,accepted,observed,0,0.6137,0.3990,0.0481,5.6628,0.1011,6.8247,160,0.1479
phone-android,tiny,1021,look,accepted,observed,0,0.6952,0.3468,0.0476,3.4704,0.0878,4.6477,160,0.1344
phone-android,tiny,1022,drop,accepted,dropped,1,0.6533,0.3410,0.0556,4.5381,0.1005,5.6886,197,0.1439
phone-android,tiny,1023,activate,rejected,stale_view,0,0.6099,0.3111,0.0457,3.5140,0.0890,4.5696,162,0.1469
phone-android,tiny,1024,move,accepted,moved,1,0.6484,0.3702,0.0530,5.9120,0.1226,7.1061,186,0.1485
phone-android,tiny,1025,look,accepted,observed,0,0.7208,0.3551,0.0475,3.4531,0.0859,4.6623,160,0.1441
phone-android,tiny,1026,move,rejected,exit_unavailable,0,0.6219,0.3495,0.0485,3.2987,0.0860,4.4045,168,0.1395
phone-android,tiny,1027,move,accepted,moved,1,0.5931,0.3463,0.1146,4.4155,0.1123,5.5818,188,0.1499
phone-android,tiny,1028,move,accepted,moved,1,0.6170,0.3865,0.0540,4.6001,0.1059,5.7635,186,0.1500
phone-android,tiny,1029,look,accepted,observed,0,0.6272,0.3384,0.0478,3.6223,0.0846,4.7205,160,0.1372
phone-android,tiny,1030,move,accepted,moved,1,0.5746,0.4049,0.0530,4.5973,1.3751,7.0048,188,0.1663
phone-android,tiny,1031,look,accepted,observed,0,0.9318,0.3464,0.0464,3.6099,0.0989,5.0333,160,0.1517
phone-android,tiny,1032,take,rejected,not_present,0,0.6669,0.3497,0.0514,4.2332,0.0883,5.3895,163,0.1436
phone-android,tiny,1033,take,rejected,not_present,0,0.6235,0.3439,0.0482,3.6446,0.0907,4.7510,163,0.1438
phone-android,tiny,1034,talk,rejected,not_eligible,0,0.6311,0.4072,0.0495,3.7316,0.0973,4.9168,165,0.1489
phone-android,tiny,1035,take,rejected,not_present,0,0.7141,0.3637,0.0487,3.5427,0.1054,4.7747,164,0.1483
phone-android,tiny,1036,look,accepted,observed,0,0.8341,0.3557,0.0493,3.4041,0.0914,4.7345,161,0.1408
phone-android,tiny,1037,move,accepted,moved,1,0.6361,0.3654,0.0518,4.4821,0.1011,5.6365,187,0.1908
phone-android,tiny,1038,talk,rejected,not_eligible,0,0.7178,0.3824,0.0530,3.4433,0.0890,4.6855,165,0.1478
phone-android,tiny,1039,move,accepted,moved,1,0.6682,0.3922,0.0534,4.7755,0.1140,6.0033,191,0.1504
phone-android,tiny,1040,activate,rejected,not_eligible,0,0.6432,0.3523,0.0492,3.7120,0.0841,4.8408,165,0.1409
phone-android,tiny,1041,talk,rejected,not_eligible,0,0.6569,0.3440,0.0496,3.4329,0.1042,4.5876,165,0.1412
phone-android,tiny,1042,look,accepted,observed,0,0.7412,0.3697,0.0494,3.7693,0.1023,5.0319,161,0.1507
phone-android,tiny,1043,move,rejected,exit_unavailable,0,0.7901,0.3906,0.0512,3.7538,0.0827,5.0684,169,0.1363
phone-android,tiny,1044,take,replayed,not_present,0,0.9758,0.3144,0.0019,0.0005,0.0338,1.3265,0,0.1201
phone-android,tiny,1045,activate,rejected,not_eligible,0,0.4365,0.2733,0.0482,3.2533,0.0820,4.0933,165,0.1388
phone-android,tiny,1046,look,accepted,observed,0,0.5685,0.3136,0.0462,3.3173,0.0828,4.3284,161,0.1368
phone-android,tiny,1047,look,accepted,observed,0,0.6274,0.4111,0.0489,3.2903,0.0755,4.4532,161,0.1346
phone-android,tiny,1048,move,accepted,moved,1,0.5898,0.3641,0.0534,4.4906,0.1018,5.5998,189,0.1482
phone-android,tiny,1049,activate,rejected,not_eligible,0,0.6695,0.3568,0.0505,3.4584,0.0797,4.6148,165,0.1413
phone-android,tiny,1050,move,accepted,moved,1,0.5724,0.3523,0.0543,4.7736,0.1054,5.8581,191,0.1507
phone-android,tiny,1051,look,accepted,observed,0,0.5924,0.3466,0.0478,3.2986,0.0816,4.3670,161,0.1567
phone-android,tiny,1052,wait,rejected,invalid_time,0,0.5744,0.3462,0.0435,3.7788,0.0828,4.8256,165,0.1501
phone-android,tiny,1053,choose,rejected,invalid_choice,0,0.5728,0.3599,0.0457,3.5993,0.0903,4.6680,167,0.1501
phone-android,tiny,1054,wait,rejected,invalid_time,0,0.6235,0.3550,0.0453,3.7909,0.0998,4.9145,165,0.1656
phone-android,tiny,1055,look,accepted,observed,0,0.7540,0.3947,0.0523,3.5221,0.0980,4.8213,161,0.1564
phone-android,tiny,1056,wait,rejected,invalid_time,0,0.7369,0.4669,0.0510,3.2968,0.0891,4.6408,165,0.1435
phone-android,tiny,1057,take,accepted,taken,1,0.6322,0.3546,0.0562,4.2502,0.1122,5.4055,189,0.1504
phone-android,tiny,1058,move,accepted,moved,1,0.7224,0.3716,0.0616,5.1194,0.1448,6.4199,187,0.2073
phone-android,tiny,1059,move,accepted,moved,1,0.9206,0.4321,0.0588,5.0521,0.1185,6.5821,191,0.1477
phone-android,tiny,1060,look,accepted,observed,0,0.7135,0.3327,0.0447,3.3769,0.0839,4.5517,161,0.1431
phone-android,tiny,1061,talk,rejected,not_eligible,0,0.5950,0.3167,0.0457,3.1985,0.0838,4.2397,165,0.1401
phone-android,tiny,1062,wait,rejected,invalid_time,0,0.6120,0.4156,0.0479,3.3260,0.0985,4.4999,165,0.1490
phone-android,tiny,1063,take,replayed,not_present,0,1.0296,0.2928,0.0015,0.0005,0.0320,1.3564,0,0.1364
phone-android,tiny,1064,move,accepted,moved,1,0.3811,0.3040,0.0541,5.2278,0.1338,6.1008,187,0.1540
phone-android,tiny,1065,choose,rejected,invalid_choice,0,0.8232,0.4107,0.0478,4.0605,0.1197,5.4619,167,0.1431
phone-android,tiny,1066,move,accepted,moved,1,0.7411,0.3920,0.0566,4.8293,0.1185,6.1374,191,0.1678
phone-android,tiny,1067,move,accepted,moved,1,0.7372,0.4006,0.0551,5.1093,0.1126,6.4148,187,0.1646
phone-android,tiny,1068,drop,replayed,dropped,0,0.9581,0.2927,0.0018,0.0008,0.0314,1.2848,0,0.1165
phone-android,tiny,1069,look,accepted,observed,0,0.3786,0.2728,0.0440,3.3299,0.0784,4.1036,161,0.1446
phone-android,tiny,1070,move,accepted,moved,1,0.6875,0.3681,0.0527,11.1308,0.1723,12.4115,191,0.1866
phone-android,tiny,1071,move,accepted,moved,1,1.0884,0.4313,0.0587,5.6186,0.1661,7.3631,187,0.2856
phone-android,tiny,1072,talk,rejected,not_eligible,0,0.9297,0.4045,0.0531,4.2764,0.1221,5.7858,165,0.1714
phone-android,tiny,1073,activate,rejected,not_eligible,0,0.9217,0.4106,0.0734,4.2246,0.0970,5.7273,165,0.1610
phone-android,tiny,1074,move,accepted,moved,1,0.6378,0.4387,0.0658,4.6262,0.1178,5.8863,191,0.1776
phone-android,tiny,1075,look,accepted,observed,0,0.6276,0.3815,0.0548,3.7455,0.1253,4.9346,161,0.1464
phone-android,tiny,1076,move,accepted,moved,1,0.8101,0.4042,0.0543,5.1691,0.1540,6.5916,189,0.1523
phone-android,tiny,1077,move,accepted,moved,1,0.7201,0.3749,0.0535,4.6461,0.1043,5.8989,191,0.2053
phone-android,tiny,1078,move,accepted,moved,1,0.6479,0.3696,0.0511,4.2453,0.1076,5.4215,187,0.1454
